yield,fiftyDayAverage,longBusinessSummary,firstTradeDateEpochUtc,bidSize,twoHundredDayAverage,previousClose,gmtOffSetMilliseconds,phone,averageDailyVolume10Day,navPrice,timeZoneShortName,trailingPE,bid,category,fiftyTwoWeekHigh,quoteType,dayLow,averageVolume10days,regularMarketVolume,ytdReturn,regularMarketPreviousClose,messageBoardId,totalAssets,trailingPegRatio,averageVolume,uuid,volume,trailingAnnualDividendYield,threeYearAverageReturn,fiveYearAverageReturn,dayHigh,timeZoneFullName,trailingAnnualDividendRate,fundInceptionDate,regularMarketOpen,regularMarketDayLow,currency,fundFamily,regularMarketDayHigh,fiftyTwoWeekLow,beta3Year,ask,forwardPE,priceHint,open,maxAge,symbol,shortName,underlyingSymbol,askSize,longName,legalType,exchange
0.0143,441.6386,"The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the “Portfolio”), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.",728317800,900,409.9016,448.75,-14400000,,75626010,445.6773,EDT,22.454424,448.37,Large Blend,459.44,ETF,444.96,75626010,76693604,0.17443661,448.75,finmb_6160262,432255172608,,77279003,e97de790-7e95-3762-8917-c59fcab3735e,76693604,0.01261727,0.117136896,0.112304,449.1999,America/New_York,5.662,727660800,449.03,444.96,USD,SPDR State Street Global Advisors,449.1999,348.11,1.0,448.4,,2,449.03,86400,SPY,SPDR S&P 500,SPY,900,SPDR S&P 500 ETF Trust,Exchange Traded Fund,PCX
0.0056,368.3224,"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.",921076200,1200,314.69226,372.0,-14400000,,52091480,367.8,EDT,30.000675,0.0,Large Growth,387.98,ETF,367.15,52091480,50879109,0.3856991,372.0,finmb_8108558,213364342784,,52092616,714d32d4-5f6c-33bc-b36a-765119cb3c4c,50879109,0.0047580646,0.113415696,0.1593722,372.45,America/New_York,1.77,921024000,372.29,367.15,USD,Invesco,372.45,254.26,1.18,0.0,,2,372.29,86400,QQQ,"Invesco QQQ Trust, Series 1",QQQ,1100,Invesco QQQ Trust,Exchange Traded Fund,NGM
,1900.6385,,558279000,0,1839.5992,1947.4177,-14400000,,4082526000,,EDT,,0.0,,2030.05,INDEX,1925.1298,4082526000,0,,1947.4177,finmb_INDEXRUT,,,3923890806,e643a11d-2814-3584-8f0f-64e2a2675ae7,0,,,,1946.6622,America/New_York,,,1946.6622,1925.1298,USD,,1946.6622,1641.94,,0.0,,2,1946.6622,86400,^RUT,Russell 2000,^RUT,0,Russell 2000,,WCB
0.014199999,188.5136,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",959347800,1800,182.45586,193.08,-14400000,1-800-474-2737,24973440,191.52234,EDT,12.215027,192.71,Small Blend,201.99,ETF,190.75,24973440,21870429,0.1057699,193.08,finmb_8797658,57479774208,,30366838,600ed58e-8501-353d-a7c7-902732abdc68,21870429,0.010446447,0.0838813,0.0398142,192.88,America/New_York,2.017,958953600,192.87,190.75,USD,iShares,192.88,162.5,1.03,192.65,,2,192.87,86400,IWM,iShares Russell 2000 ETF,IWM,1100,iShares Russell 2000 ETF,Exchange Traded Fund,PCX
0.019,344.2212,"The Trust’s Portfolio consists of substantially all of the component common stocks that comprise the DJIA, which are weighted in accordance with the terms of the Trust Agreement.",885306600,800,335.9465,353.02,-14400000,866.787.2257,3370520,351.2157,EDT,20.78937,0.0,Large Value,356.7,ETF,350.56,3370520,2826548,0.0718268,353.02,finmb_6184218,31154642944,,3209927,6c158591-4e0c-35b9-b97d-df821c43c9ab,2826548,0.015919778,0.1061187,0.0878041,353.676,America/New_York,5.62,884649600,352.87,350.56,USD,SPDR State Street Global Advisors,353.676,286.62,0.92,353.19,,2,352.87,86400,DIA,SPDR Dow Jones Industrial Avera,DIA,800,SPDR Dow Jones Industrial Average ETF Trust,Exchange Traded Fund,PCX
0.0212,72.5478,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted, market capitalization-weighted index designed to measure large- and mid-capitalization equity market performance of developed markets outside of the U.S. and Canada.",998919000,29200,69.78305,72.33,-14400000,1-800-474-2737,14207310,72.29016,EDT,13.839176,72.91,Foreign Large Blend,74.74,ETF,72.1929,14207310,12181371,0.121993,72.33,finmb_8797589,51422085120,,15303453,295e051a-b466-35f1-a47a-f082cf335405,12181371,0.024346745,0.0743631,0.0417319,72.62,America/New_York,1.761,997747200,72.43,72.1929,USD,iShares,72.62,54.61,1.09,73.16,,2,72.43,86400,EFA,iShares MSCI EAFE ETF,EFA,1200,iShares MSCI EAFE ETF,Exchange Traded Fund,PCX
0.021300001,40.1574,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure equity market performance in the global emerging markets. The underlying index includes large- and mid-capitalization companies and may change over time.,1050327000,1300,39.14915,39.99,-14400000,,29043030,40.24154,EDT,11.288506,40.19,Diversified Emerging Mkts,42.53,ETF,39.93,29043030,27888030,0.06611,39.99,finmb_8797528,24941096960,,30027622,328e4185-22bb-3cfc-89f2-569ce5e32229,27888030,0.019004751,-0.0095977,0.0028733998,40.275,America/New_York,0.76,1049673600,40.25,39.93,USD,iShares,40.275,33.49,0.92,40.27,,2,40.25,86400,EEM,iShares MSCI Emerging Index Fun,EEM,38800,iShares MSCI Emerging Markets ETF,Exchange Traded Fund,PCX
0.0194,33.946,"The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Financial companies by the Global Industry Classification Standard, including securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. The fund is non-diversified.",914337000,47300,34.04335,35.08,-14400000,,35723840,34.80484,EDT,15.801695,35.0,Financial,37.11,ETF,34.78,35723840,37577163,0.027748499,35.08,finmb_8795483,35948523520,,40751259,8c79bf33-80b0-3f96-8327-6dc8d8f35dd0,37577163,0.016533636,0.14121139,0.0644613,35.16,America/New_York,0.58,913766400,35.06,34.78,USD,SPDR State Street Global Advisors,35.16,29.59,1.09,35.03,,2,35.06,86400,XLF,SPDR Select Sector Fund - Finan,XLF,29200,Financial Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0367,82.1634,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.",914337000,1300,84.88055,87.45,-14400000,,19454070,88.50026,EDT,8.197662,88.96,Equity Energy,94.71,ETF,87.75,19454070,26022703,0.0319219,87.45,finmb_8795479,37095784448,,19392117,352d3b13-85c9-3cf9-9325-626eb84dbe4f,26022703,0.02469983,0.3975169,0.088148296,89.36,America/New_York,2.16,913766400,88.3,87.75,USD,SPDR State Street Global Advisors,89.36,68.66,1.08,89.0,,2,88.3,86400,XLE,SPDR Select Sector Fund - Energ,XLE,4000,Energy Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0313,66.0378,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: electric utilities; water utilities; multi-utilities; independent power and renewable electricity producers; and gas utilities. The fund is non-diversified.",914337000,4000,67.74475,64.28,-14400000,,15024660,64.41522,EDT,22.664717,64.52,Utilities,78.22,ETF,64.14,15024660,13010177,-0.0720762,64.28,finmb_8795452,15624821760,,13854201,f6d3d826-2d81-3b87-92ab-ee5343f2460e,13010177,0.030336032,0.0473572,0.072525,64.99,America/New_York,1.95,913766400,64.25,64.14,USD,SPDR State Street Global Advisors,64.99,60.35,0.55,64.73,,2,64.25,86400,XLU,SPDR Select Sector Fund - Utili,XLU,1800,Utilities Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0076,172.0758,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.",914337000,800,146.66095,170.32,-14400000,,6049790,168.05946,EDT,31.854185,169.13,Technology,181.46,ETF,167.54,6049790,7148682,0.35683382,170.32,finmb_8795639,51633971200,,6540129,831b3a60-ccb6-34f6-850a-b0a55559f044,7148682,0.006476045,0.149079,0.192636,170.55,America/New_York,1.103,913766400,170.55,167.54,USD,SPDR State Street Global Advisors,170.55,112.97,1.21,169.37,,2,170.55,86400,XLK,SPDR Select Sector Fund - Techn,XLK,1200,Technology Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0154,106.2522,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified.",914337000,3200,101.0488,109.07,-14400000,,8743710,108.98894,EDT,23.411276,109.48,Industrials,111.12,ETF,108.6,8743710,7823541,0.1189491,109.07,finmb_8795505,16173811712,,10364680,5a267d66-00d0-393d-95ad-4ca802a0d6fd,7823541,0.011368846,0.1498164,0.0952003,109.5,America/New_York,1.24,913766400,109.08,108.6,USD,SPDR State Street Global Advisors,109.5,82.75,1.12,109.66,,2,109.08,86400,XLI,SPDR Select Sector Fund - Indus,XLI,1100,Industrial Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.019199999,81.813,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: chemicals; metals and mining; paper and forest products; containers and packaging; and construction materials. The fund is non-diversified.",914337000,800,80.308,83.23,-14400000,,7176650,82.87455,EDT,15.959728,83.24,Natural Resources,85.9,ETF,82.78,7176650,7963132,0.0769464,83.23,finmb_8795509,6816154624,,6340850,89216834-aae8-3891-8bd6-dbad9087f655,7963132,0.016700707,0.1255374,0.0909262,83.72,America/New_York,1.39,913766400,83.55,82.78,USD,SPDR State Street Global Advisors,83.72,66.85,1.13,83.55,,2,83.55,86400,XLB,Materials Select Sector SPDR,XLB,2900,Materials Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.024600001,74.2404,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified.",914337000,3200,74.2404,74.72,-14400000,,10162350,74.81093,EDT,25.51213,74.94,Consumer Defensive,77.82,ETF,74.64,10162350,11846017,0.0157205,74.72,finmb_2668776,18196486144,,12134708,6ee71b7d-617f-3cc4-9dab-bfaa73990257,11846017,0.023153104,0.083469,0.09858131,75.22,America/New_York,1.73,913766400,74.76,74.64,USD,SPDR State Street Global Advisors,75.22,66.18,0.6,75.1,,2,74.76,86400,XLP,SPDR Select Sector Fund - Consu,XLP,800,Consumer Staples Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0156,131.8764,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified.",914337000,1000,132.34175,134.96,-14400000,,10495760,134.88799,EDT,22.859732,135.19,Health,141.77,ETF,134.75,10495760,9826828,0.0010925,134.96,finmb_8795490,40065622016,,9605358,72ee34b0-f83a-34a3-bba0-c460262a0e63,9826828,0.01341138,0.0991395,0.1032597,135.65,America/New_York,1.81,913766400,134.84,134.75,USD,SPDR State Street Global Advisors,135.65,119.95,0.67,135.46,,2,134.84,86400,XLV,SPDR Select Sector Fund - Healt,XLV,1400,Health Care Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0084,167.693,"The Advisor employs a replication strategy. The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Discretionary companies by the Global Industry Classification Standard (GICS®). It is non-diversified.",914337000,900,149.1684,171.93,-14400000,,4309200,169.8836,EDT,26.525425,170.76,Consumer Cyclical,177.8,ETF,169.6,4309200,4516926,0.3219805,171.93,finmb_8795473,17699805184,,4807588,28a08817-083c-3148-9471-debb4b8d7ed7,4516926,0.0068050954,0.0741537,0.0948895,172.18,America/New_York,1.17,913766400,172.17,169.6,USD,SPDR State Street Global Advisors,172.18,126.0,1.19,171.44,,2,172.17,86400,XLY,SPDR Select Sector Fund - Consu,XLY,800,Consumer Discretionary Select Sector SPDR Fund,Exchange Traded Fund,PCX
0.0,84.536,"In seeking to track the performance of the S&P Biotechnology Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the biotechnology segment of the S&P Total Market Index (""S&P TMI"").",1139236200,1400,82.78325,79.33,-14400000,,6893240,79.30586,EDT,,79.28,Health,95.18,ETF,78.745,6893240,6388670,-0.0450317,79.33,finmb_26755274,6574079488,,6709353,a363c346-ce7b-339c-81c6-27676f90caf3,6388670,,-0.1132255,-0.035429798,80.26,America/New_York,,1138665600,79.66,78.745,USD,SPDR State Street Global Advisors,80.26,72.44,0.74,79.91,,2,79.66,86400,XBI,SPDR Series Trust  SPDR S&P Bio,XBI,900,SPDR S&P Biotech ETF,Exchange Traded Fund,PCX
0.0083,79.467,"In seeking to track the performance of the S&P Homebuilders Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the homebuilders segment of the S&P Total Market Index (""S&P TMI"").",1139236200,900,68.83245,84.65,-14400000,,2593160,83.89032,EDT,12.505515,82.61,Consumer Cyclical,85.13,ETF,83.64,2593160,1868031,0.39784852,84.65,finmb_26752346,1466486400,,2807737,f3b9adfe-a7ce-35bc-808b-6c6815ec00ab,1868031,,0.1903901,0.17189051,84.55,America/New_York,,1138665600,84.4,83.64,USD,SPDR State Street Global Advisors,84.55,52.99,1.2,84.97,,2,84.4,86400,XHB,SPDR Series Trust SPDR Homebuil,XHB,1800,SPDR S&P Homebuilders ETF,Exchange Traded Fund,PCX
0.0164,50.393,"In seeking to track the performance of the S&P Metals & Mining Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the metals and mining segment of the S&P Total Market Index (""S&P TMI""). The fund is non-diversified.",1150983000,2900,51.50895,51.73,-14400000,,2390490,51.68328,EDT,5.3673444,50.4,Natural Resources,59.24,ETF,51.47,2390490,1777738,0.045103896,51.73,finmb_27776009,1966922496,,3077441,599ae44d-268f-359f-9ab7-53ba548c7d43,1777738,0.0061859656,0.3004857,0.0991667,52.04,America/New_York,0.32,1150675200,51.9,51.47,USD,SPDR State Street Global Advisors,52.04,40.76,1.48,0.0,,2,51.9,86400,XME,SPDR S&P Metals & Mining ETF,XME,1200,SPDR S&P Metals and Mining ETF,Exchange Traded Fund,PCX
0.0272,131.0848,"In seeking to track the performance of the S&P Oil & Gas Exploration & Production Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas exploration and production segment of the S&P Total Market Index (""S&P TMI"").",1150983000,800,134.2327,146.39,-14400000,,3993050,148.40224,EDT,4.960662,147.26,Equity Energy,161.42,ETF,146.83,3993050,4331206,0.107811406,146.39,finmb_27776185,3848357376,,4287650,6084768f-476f-3f10-a179-98b65240e633,4331206,0.009495184,0.4327222,-0.0003014,150.43,America/New_York,1.39,1150675200,148.05,146.83,USD,SPDR State Street Global Advisors,150.43,114.16,1.33,151.59,-14834.0,2,148.05,86400,XOP,SPDR S&P Oil & Gas Explor & Pro,XOP,1100,SPDR S&P Oil & Gas Exploration & Production ETF,Exchange Traded Fund,PCX
0.0207,63.99,"In seeking to track the performance of the S&P Retail Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the retail segment of the S&P Total Market Index (""S&P TMI"").",1150983000,3000,63.76445,66.24,-14400000,,4043760,66.00733,EDT,11.707059,63.68,Consumer Cyclical,75.79,ETF,65.78,4043760,4375549,0.100806504,66.24,finmb_27776413,437029568,,5240896,4845b8fe-5647-3efc-83de-8b2ec3667940,4375549,0.007865339,0.110704005,0.0709724,66.71,America/New_York,0.521,1150675200,66.7,65.78,USD,SPDR State Street Global Advisors,66.71,55.32,1.3,67.22,,2,66.7,86400,XRT,SPDR S&P Retail ETF,XRT,2200,SPDR S&P Retail ETF,Exchange Traded Fund,PCX
0.0038,82.2636,"In seeking to track the performance of the S&P Oil & Gas Equipment & Services Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas equipment and services segment of the S&P Total Market Index (""S&P TMI"").",1150983000,1000,79.20745,93.45,-14400000,,125420,94.4112,EDT,22.086124,89.58,Equity Energy,96.38,ETF,94.12,125420,135508,0.1876483,93.45,finmb_27776147,350714240,,96041,1a6c2cec-9000-34f6-afc0-6042c5f4e777,135508,0.006527555,0.3793366,-0.0958366,96.38,America/New_York,0.61,1150675200,94.12,94.12,USD,SPDR State Street Global Advisors,96.38,51.63,1.65,0.0,,2,94.12,86400,XES,SPDR Series Trust SPDR S&P Oil ,XES,900,SPDR S&P Oil & Gas Equipment & Services ETF,Exchange Traded Fund,PCX
0.0018000001,134.0126,"In seeking to track the performance of the S&P Software & Services Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the software and services segment of the S&P Total Market Index (""S&P TMI"").",1317303000,800,120.501,132.6616,-14400000,,12710,130.20021,EDT,,0.0,Technology,143.89,ETF,129.86,12710,11407,0.198836,132.6616,finmb_141049102,333165120,,18901,85ab3177-0a1f-3f63-8458-20e804206bc6,11407,,0.030795,0.0887932,132.59,America/New_York,,1317168000,132.59,129.86,USD,SPDR State Street Global Advisors,132.59,100.83,1.12,0.0,,2,132.59,86400,XSW,SPDR S&P Software & Services ET,XSW,1100,SPDR S&P Software & Services ETF,Exchange Traded Fund,PCX
0.0034,218.1684,"In seeking to track the performance of the S&P Semiconductor Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index (""S&P TMI"").",1139236200,800,194.02995,216.28,-14400000,,64110,212.57286,EDT,24.108736,0.0,Technology,233.01,ETF,211.19,64110,56861,0.2738744,216.28,finmb_26752143,1677391232,,84333,0cd3581b-75ed-3226-a50f-b1ed89c665cf,56861,0.0020344,0.1941651,0.23189871,216.26,America/New_York,0.44,1138665600,216.26,211.19,USD,SPDR State Street Global Advisors,216.26,138.65,1.48,0.0,,2,216.26,86400,XSD,SPDR S&P Semiconductor ETF,XSD,900,SPDR S&P Semiconductor ETF,Exchange Traded Fund,PCX
0.0068,82.1386,"In seeking to track the performance of the S&P Transportation Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the transportation segment of the S&P Total Market Index (""S&P TMI"").",1296138600,800,75.05465,84.98,-14400000,,27210,84.08779,EDT,12.20882,0.0,Industrials,88.14,ETF,84.06,27210,10578,0.25601378,84.98,finmb_118789341,270578912,,27048,5da217af-8d9d-3c2a-91d5-16c9b747c0cf,10578,,0.1465526,0.0590518,84.84,America/New_York,,1296000000,84.82,84.06,USD,SPDR State Street Global Advisors,84.84,63.47,1.38,0.0,,2,84.82,86400,XTN,SPDR S&P Transportation ETF,XTN,800,SPDR S&P Transportation ETF,Exchange Traded Fund,PCX
0.0046,120.4252,"In seeking to track the performance of the S&P Aerospace & Defense Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the aerospace and defense segment of the S&P Total Market Index (""S&P TMI"").",1317303000,900,115.06865,122.28,-14400000,,54390,122.47482,EDT,27.160965,0.0,Industrials,125.42,ETF,122.03,54390,65634,0.1162808,122.28,finmb_141049103,1594678784,,57287,a336373e-fa12-3d23-8122-330ec0768e3d,65634,0.0,0.11144029,0.0628659,123.62,America/New_York,0.0,1317168000,123.15,122.03,USD,SPDR State Street Global Advisors,123.62,91.37,1.16,0.0,,2,123.15,86400,XAR,SPDR S&P Aerospace & Defense ET,XAR,1000,SPDR S&P Aerospace & Defense ETF,Exchange Traded Fund,PCX
0.0374,107.1732,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index is designed to provide a broad representation of the U.S. dollar-denominated liquid investment-grade corporate bond market.",1028035800,2900,107.3761,106.06,-14400000,1-800-474-2737,21175110,106.13159,EDT,32.101604,105.32,Corporate Bond,114.98,ETF,106.055,21175110,11494979,0.03042,106.06,finmb_8797348,36851171328,,19807270,c043b6a2-e736-3790-a8b9-949631fc099a,11494979,0.030086745,-0.0583443,0.014703601,106.31,America/New_York,3.191,1027296000,106.2,106.055,USD,iShares,106.31,98.41,1.57,109.99,,2,106.2,86400,LQD,iShares iBoxx $ Investment Grad,LQD,1400,iShares iBoxx $ Investment Grade Corporate Bond ETF,Exchange Traded Fund,PCX
