yield,fiftyDayAverage,longBusinessSummary,firstTradeDateEpochUtc,bidSize,twoHundredDayAverage,previousClose,gmtOffSetMilliseconds,phone,averageDailyVolume10Day,navPrice,timeZoneShortName,trailingPE,bid,category,fiftyTwoWeekHigh,quoteType,dayLow,averageVolume10days,regularMarketVolume,ytdReturn,regularMarketPreviousClose,messageBoardId,totalAssets,trailingPegRatio,averageVolume,uuid,volume,trailingAnnualDividendYield,threeYearAverageReturn,fiveYearAverageReturn,dayHigh,timeZoneFullName,trailingAnnualDividendRate,fundInceptionDate,regularMarketOpen,regularMarketDayLow,currency,fundFamily,regularMarketDayHigh,fiftyTwoWeekLow,beta3Year,ask,forwardPE,priceHint,open,maxAge,symbol,shortName,underlyingSymbol,askSize,longName,legalType,exchange
0.0231,81.1568,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to one year and less than three years.,1028035800,29200,81.4412,81.14,-14400000,1-800-474-2737,4896860,81.06476,EDT,3685.909,0.0,Short Government,82.74,ETF,81.08,4896860,3197712,0.0151009,81.14,finmb_8797409,25803266048,,5417027,f1e150c7-2018-31c4-b84e-a4f346d68be5,3197712,0.0038575302,-0.0104799,0.0090189995,81.16,America/New_York,0.313,1027296000,81.13,81.08,USD,iShares,81.16,80.48,0.26,0.0,,2,81.13,86400,SHY,iShares 1-3 Year Treasury Bond ,SHY,36200,iShares 1-3 Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.0335,110.2032,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of less than or equal to one year.",1168525800,2200,110.1282,110.1,-14400000,1-800-474-2737,2328320,110.09446,EDT,,0.0,Ultrashort Bond,110.5,ETF,110.11,2328320,2446160,0.0277742,110.1,finmb_31131108,19947001856,,3157974,b9b54bd6-cda1-32ad-a73e-b0dd51e719ab,2446160,0.0,0.0119973,0.0151651,110.13,America/New_York,0.0,1167955200,110.13,110.11,USD,iShares,110.13,109.73,0.02,0.0,,2,110.13,86400,SHV,iShares Short Treasury Bond ETF,SHV,28000,iShares Short Treasury Bond ETF,Exchange Traded Fund,NGM
0.0305,101.0232,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years.",1028035800,1400,102.8067,96.69,-14400000,1-800-474-2737,35542410,97.13457,EDT,,0.0,Long Government,117.06,ETF,96.84,35542410,20105381,-0.0057716,96.69,finmb_8797414,43548020736,,25234033,f613eb1c-3d8f-3b08-afb9-72fd728b533a,20105381,0.022256695,-0.1525105,-0.0203486,97.285,America/New_York,2.152,1027296000,96.88,96.84,USD,iShares,97.285,91.85,2.1,0.0,-3239.6667,2,96.88,86400,TLT,iShares 20+ Year Treasury Bond ,TLT,800,iShares 20+ Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.023,22.8606,The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index includes publicly-issued U.S. Treasury securities that have a remaining maturity greater than one year and less than or equal to thirty years and have $300 million or more of outstanding face value.,1330093800,43500,22.9997,22.64,-14400000,1-800-474-2737,6944970,22.64252,EDT,,22.33,Intermediate Government,24.1,ETF,22.63,6944970,5805929,0.0118604,22.64,finmb_170834319,24182872064,,10124406,93362a7f-fa2d-34a4-baf9-aa4f8aa99c0b,5805929,,-0.0536096,0.0027576,22.68,America/New_York,,1329177600,22.645,22.63,USD,iShares,22.68,22.13,0.86,23.01,,2,22.645,86400,GOVT,iShares U.S. Treasury Bond ETF,GOVT,45900,iShares U.S. Treasury Bond ETF,Exchange Traded Fund,BTS
0.0255,96.3526,"The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to seven years and less than ten years. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index.",1028035800,3200,97.29185,95.3,-14400000,1-800-474-2737,7236090,95.32282,EDT,,0.0,Long Government,104.33,ETF,95.26,7236090,5284706,0.011570999,95.3,finmb_8797472,29076992000,,6993554,23cc037b-8361-34e8-886c-b9963a0c5e2b,5284706,0.00980063,-0.0659718,0.0036511999,95.5156,America/New_York,0.934,1027296000,95.3,95.26,USD,iShares,95.5156,92.48,1.18,0.0,,2,95.3,86400,IEF,iShares 7-10 Year Treasury Bond,IEF,41800,iShares 7-10 Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.0347,91.6142,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to 1 month and less than 3 months.",1180531800,312300,91.58705,91.52,-14400000,,6537270,91.51554,EDT,,0.0,Ultrashort Bond,91.85,ETF,91.53,6537270,4255624,0.0278161,91.52,finmb_34697630,27481858048,,6315983,083177d9-d6f3-3d95-96de-3c8eac596f99,4255624,,0.0134930005,0.014603999,91.54,America/New_York,,1180051200,91.53,91.53,USD,SPDR State Street Global Advisors,91.54,91.33,0.0,0.0,,2,91.53,86400,BIL,SPDR Bloomberg 1-3 Month T-Bill,BIL,381200,SPDR Bloomberg 1-3 Month T-Bill ETF,Exchange Traded Fund,PCX
0.019299999,115.48,"The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to three years and less than seven years. The fund will invest at least 80% of its assets in the component securities of the index, and the fund will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the index.",1168525800,4000,116.02235,115.22,-14400000,1-800-474-2737,1510000,115.12226,EDT,,0.0,Intermediate Government,120.29,ETF,115.12,1510000,970291,0.0149202,115.22,finmb_31130963,13348440064,,1601979,13a6964b-f6d8-3bc5-9523-f18ef28d0aeb,970291,,-0.0372491,0.0071897,115.33,America/New_York,,1167955200,115.23,115.12,USD,iShares,115.33,112.26,0.72,0.0,,2,115.23,86400,IEI,iShares 3-7 Year Treasury Bond ,IEI,900,iShares 3-7 Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.0231,57.7784,"The fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 1-3 Year Index. This index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities, floating rate securities and certain other security types), all with maturities between 1 and 3 years. At least 80% of the fund's assets will be invested in bonds included in the index.",1258986600,42300,57.99755,57.74,-14400000,,2399350,57.69,EDT,,0.0,Short Government,58.93,ETF,57.71,2399350,1704394,0.0158769,57.74,finmb_81834845,27048695808,,3045151,75b7f69f-fe17-3f77-a573-ca4627b7b930,1704394,,-0.009717,0.0098894,57.76,America/New_York,,1258588800,57.74,57.71,USD,Vanguard,57.76,57.31,0.26,0.0,,2,57.74,86400,VGSH,Vanguard Short-Term Treasury ET,VGSH,29200,Vanguard Short-Term Treasury Index Fund,Exchange Traded Fund,NGM
0.0273,48.0878,"The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in securities included in the index. The index includes all publicly-issued U.S. Treasury securities that have a remaining maturity of greater than or equal to one year and less than three years, are rated investment grade, and have $300 million or more of outstanding face value. The securities in the index must be denominated in U.S. dollars and must be fixed-rate and non-convertible.",1281015000,45100,48.3422,48.03,-14400000,1-800-435-4000,1441820,47.99,EDT,,47.48,Short Government,49.15,ETF,47.99,1441820,1608682,0.0159523,48.03,finmb_111311606,12446209024,,2487412,e70f69f9-c230-3d57-8f50-defda610f75c,1608682,0.0,-0.0098012,0.0097767,48.04,America/New_York,0.0,1280966400,48.03,47.99,USD,Schwab ETFs,48.04,47.71,0.26,0.0,,2,48.03,86400,SCHO,Schwab Short-Term U.S. Treasury,SCHO,42300,Schwab Short-Term U.S. Treasury ETF,Exchange Traded Fund,PCX
0.0231,58.701,"The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Treasury 3-10 Year Index. This index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected bonds, floating rate securities and certain other security types), with maturities between 3 and 10 years. At least 80% of the fund's assets will be invested in bonds included in the index.",1258986600,42300,59.0906,58.44,-14400000,,2560700,58.41,EDT,,0.0,Intermediate Government,61.74,ETF,58.41,2560700,1505148,0.0139362,58.44,finmb_81834765,20724660224,,2526824,e0e7bd1b-4d4f-3cc4-bff8-741a004f34f1,1505148,0.0,-0.042459402,0.0073506,58.53,America/New_York,0.0,1280880000,58.46,58.41,USD,Vanguard,58.53,57.08,0.82,0.0,,2,58.46,86400,VGIT,Vanguard Intermediate-Term Trea,VGIT,1000,Vanguard Intermediate-Term Treasury Index Fund,Exchange Traded Fund,NGM
0.0279,49.307,"The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in securities included in the index. The index includes all publicly-issued U.S. Treasury securities that have a remaining maturity of greater than or equal to three years and less than ten years, are rated investment grade, and have $300 million or more of outstanding face value. The securities in the index must be denominated in U.S. dollars and must be fixed-rate and non-convertible.",1281015000,46000,49.69475,49.07,-14400000,1-800-435-4000,738470,49.05,EDT,,0.0,Intermediate Government,52.08,ETF,49.0335,738470,595748,0.0141038,49.07,finmb_111311605,7433145344,,861409,d486e5f7-8383-390b-8fcc-49b77f83790d,595748,,-0.0425338,0.0072626,49.13,America/New_York,,1280966400,49.07,49.0335,USD,Schwab ETFs,49.13,48.09,0.82,53.74,,2,49.07,86400,SCHR,Schwab Intermediate-Term U.S. T,SCHR,46000,Schwab Intermediate-Term U.S. Treasury ETF,Exchange Traded Fund,PCX
0.025899999,28.8206,"The fund invests at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of short term (1-3 years) public obligations of the U.S. Treasury.",1322749800,40700,28.9634,28.8,-14400000,,2836960,28.77462,EDT,,0.0,Short Government,29.44,ETF,28.78,2836960,2572719,0.0159481,28.8,finmb_143773982,5333299712,,3146916,ff336ce5-bee8-3e2c-951d-b35bc1d231eb,2572719,,-0.0098837,0.0099585,28.81,America/New_York,,1322611200,28.79,28.78,USD,SPDR State Street Global Advisors,28.81,28.6,0.26,0.0,,2,28.79,86400,SPTS,SPDR Portfolio Short Term Treas,SPTS,40000,SPDR Portfolio Short Term Treasury ETF,Exchange Traded Fund,PCX
0.0228,28.3112,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of intermediate term (3-10 years) public obligations of the U.S. Treasury.",1180531800,27000,28.51625,28.17,-14400000,,3081590,28.16278,EDT,,0.0,Intermediate Government,29.79,ETF,28.155,3081590,2840218,0.0131716,28.17,finmb_34697694,3944101632,,4545353,cffc00fb-6305-3cb6-85cc-5c8360d0200c,2840218,0.0,-0.042967603,0.0071741003,28.21,America/New_York,0.0,1179878400,28.18,28.155,USD,SPDR State Street Global Advisors,28.21,27.55,0.82,30.86,,2,28.18,86400,SPTI,SPDR Portfolio Intermediate Ter,SPTI,21500,SPDR Portfolio Intermediate Term Treasury ETF,Exchange Traded Fund,PCX
0.0299,29.4374,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of public obligations of the U.S. Treasury that have a remaining maturity of 10 years or more.",1180531800,36900,29.90015,28.33,-14400000,,5889010,28.45989,EDT,,28.18,Long Government,33.69,ETF,28.385,5889010,4344294,-0.0020752,28.33,finmb_34697697,6951619584,,4858243,b81c8fc9-9be2-3555-bcf6-126b681d33ce,4344294,,-0.1445974,-0.0156465,28.505,America/New_York,,1179878400,28.39,28.385,USD,SPDR State Street Global Advisors,28.505,26.87,2.01,28.59,,2,28.39,86400,SPTL,SPDR Portfolio Long Term Treasu,SPTL,4000,SPDR Portfolio Long Term Treasury ETF,Exchange Traded Fund,PCX
0.0339,99.8564,The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index. The index is designed to measure the performance of U.S. Treasury Securities with a maximum remaining maturity of 12 months. The investment adviser uses a representative sampling strategy to manage the fund.,1473859800,3000,99.84685,99.75,-14400000,,524860,99.76,EDT,,99.8,Ultrashort Bond,100.18,ETF,99.77,524860,346074,0.026631601,99.75,finmb_379291762,5454323712,,655938,11435e28-b41f-3ffe-a697-e3a4aece0359,346074,0.0,0.0120364,0.0150728,99.78,America/New_York,0.0,1473120000,99.78,99.77,USD,Goldman Sachs,99.78,99.56,0.02,99.82,,2,99.78,86400,GBIL,Goldman Sachs Access Treasury 0,GBIL,3100,Goldman Sachs Access Treasury 0-1 Year ETF,Exchange Traded Fund,PCX
0.0306,62.5022,"The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Long Treasury Index. This index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected bonds, floating rate securities and certain other security types), with maturities greater than 10 years. Under normal circumstances, at least 80% of the fund's assets will be invested in bonds included in the index.",1262615400,1800,63.4821,60.15,-14400000,,1816250,60.38,EDT,,0.0,Long Government,71.52,ETF,60.245,1816250,1266147,-0.0013585,60.15,finmb_81834816,11605756928,,1783530,b8e15924-edd7-373d-ab77-133d2f97f5fa,1266147,,-0.1440823,-0.0154182995,60.4964,America/New_York,,1280448000,60.28,60.245,USD,Vanguard,60.4964,57.04,2.02,0.0,,2,60.28,86400,VGLT,Vanguard Long-Term Treasury ETF,VGLT,3100,Vanguard Long-Term Treasury Index Fund,Exchange Traded Fund,NGM
0.0425,50.3872,The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is designed to measure the performance of floating rate public obligations of the U.S. Treasury. The fund is non-diversified.,1391524200,36100,50.34355,50.39,-14400000,866-909-9473,3566610,50.38999,EDT,,50.4,Ultrashort Bond,50.5,ETF,50.39,3566610,2815385,0.0317493,50.39,finmb_254240947,17158458368,,3997279,c1df0a7b-457e-36dd-9a76-4bda0e7d5585,2815385,0.0,0.0167711,0.0168179,50.41,America/New_York,0.0,1391472000,50.4,50.39,USD,WisdomTree,50.41,50.2,-0.01,50.44,,2,50.4,86400,USFR,WisdomTree Floating Rate Treasu,USFR,39400,WisdomTree Floating Rate Treasury Fund,Exchange Traded Fund,PCX
0.0345,109.2756,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. It seeks to track the investment results of the underlying index which measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to ten years and less than twenty years.",1168525800,1200,110.87265,106.0,-14400000,1-800-474-2737,890980,106.2916,EDT,,104.91,Long Government,122.45,ETF,106.11,890980,426251,0.0047569,106.0,finmb_31130868,7163065344,,767685,43b38bf4-8301-36bb-925d-592337154fe1,426251,0.0,-0.12337539,-0.0159346,106.54,America/New_York,0.0,1167955200,106.13,106.11,USD,iShares,106.54,100.69,1.83,0.0,,2,106.13,86400,TLH,iShares 10-20 Year Treasury Bon,TLH,800,iShares 10-20 Year Treasury Bond ETF,Exchange Traded Fund,PCX
0.0336,84.3628,"The advisor employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index. This index includes zero-coupon U.S. Treasury securities (Treasury STRIPS), which are backed by the full faith and credit of the U.S. government, with maturities ranging from 20 to 30 years. The fund invests by sampling the index. At least 80% of it's assets will be invested in U.S. Treasury securities held in the index.",1201617000,800,86.4561,78.93,-14400000,,627970,79.21,EDT,,77.4,Long Government,101.91,ETF,79.13,627970,171437,-0.0237327,78.93,finmb_39505632,3032856832,,364248,33c266a8-04c2-3bb4-bea5-149e50430302,171437,0.0,-0.2022835,-0.0349263,79.72,America/New_York,0.0,1196899200,79.13,79.13,USD,Vanguard,79.72,73.68,2.67,83.98,,2,79.13,86400,EDV,Vanguard Extended Duration Trea,EDV,900,Vanguard Extended Duration Treasury Index Fund,Exchange Traded Fund,PCX
0.0354,100.416,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of less than or equal to three months.,1591018200,21500,100.3271,100.3,-14400000,1-800-474-2737,2445820,100.30281,EDT,,100.32,Ultrashort Bond,100.64,ETF,100.32,2445820,1890704,0.0293673,100.3,finmb_662509181,12048430080,,2228593,9d20c4a7-2b88-3009-a3a5-362d61bfc0b6,1890704,,0.015203101,,100.33,America/New_York,,1590451200,100.33,100.32,USD,iShares,100.33,99.96,0.0,100.38,,2,100.33,86400,SGOV,iShares 0-3 Month Treasury Bond,SGOV,45100,iShares 0-3 Month Treasury Bond ETF,Exchange Traded Fund,PCX
0.0363,105.5119,"The fund generally will invest at least 80% of its total assets in the components of the index. The index is designed to measure the performance of U.S. Treasury Obligations with a maximum remaining maturity of less than or equal to 12 months. ""U.S. Treasury Obligations"" refer to securities issued or guaranteed by the U.S. Treasury where the payment of principal and interest is backed by the full faith and credit of the U.S. government. They include U.S. Treasury notes, bills and bonds.",1485181800,28000,105.46821,105.57,-14400000,,160150,105.56,EDT,,0.0,Ultrashort Bond,105.82,ETF,105.5801,160150,60634,0.0273154,105.57,finmb_376363824,1352577152,,121061,5b40b462-137d-33bb-9ff0-4523ff974498,60634,0.0,0.0128192,0.0159445,105.59,America/New_York,0.0,1484006400,105.59,105.5801,USD,Invesco,105.59,104.81,0.02,0.0,,2,105.59,86400,CLTL,Invesco Treasury Collateral ETF,CLTL,1000,Invesco Treasury Collateral ETF,Exchange Traded Fund,PCX
0.0312,20.73364,"Under normal market conditions, the fund invests at least 80% of its net assets in direct obligations of the U.S. Treasury, including Treasury bonds, bills, notes and Treasury Inflation-Protected Securities (TIPS), and investments that provide exposure to direct obligations of the U.S. Treasury. The fund may invest in U.S. Treasury securities of any maturity and intends to primarily focus on U.S. Treasury securities with a remaining maturity of between 1-30 years.",1591882200,4000,20.91426,20.5305,-14400000,,130410,20.54,EDT,,0.0,Intermediate Government,21.94,ETF,20.5372,130410,22235,0.0118895,20.5305,finmb_661398896,435831328,,47100,3d880eff-1c9c-31e4-8bf2-c87a2f743b2c,22235,0.0,-0.0488799,,20.5699,America/New_York,0.0,1591660800,20.5372,20.5372,USD,Franklin Templeton Investments,20.5699,20.275,0.8,20.56,,2,20.5372,86400,FLGV,Franklin U.S. Treasury Bond ETF,FLGV,4000,Franklin U.S. Treasury Bond ETF,Exchange Traded Fund,PCX
0.0381,50.5656,The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index is a market capitalization-weighted index that measures the performance of floating rate public obligations of the U.S. Treasury.,1391524200,40700,50.50255,50.56,-14400000,1-800-474-2737,2533430,50.55104,EDT,,50.59,Ultrashort Bond,50.68,ETF,50.57,2533430,3549642,0.0304748,50.56,finmb_253511354,9517401088,,2850295,e2023c9b-d1ea-3a6a-b8d1-b22f7ec270c1,3549642,,0.016642801,0.0164934,50.58,America/New_York,,1391472000,50.57,50.57,USD,iShares,50.58,50.28,-0.01,50.6,,2,50.57,86400,TFLO,iShares Treasury Floating Rate ,TFLO,28000,iShares Treasury Floating Rate Bond ETF,Exchange Traded Fund,PCX
0.031600002,88.8256,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the ICE BofA Long US Treasury Principal STRIPS Index (the ""underlying index""). The underlying index is an unmanaged index comprised of long maturity Separate Trading of Registered Interest and Principal of Securities (""STRIPS"") representing the final principal payment of U.S. Treasury bonds.",1257345000,800,91.307,82.51,-14400000,,254550,83.26,EDT,,0.0,Long Government,110.65,ETF,82.81,254550,182319,-0.030360999,82.51,finmb_79086087,919967744,,215437,a06ae82e-c6bb-3f8b-ae61-d44d4ccf0bcd,182319,0.0,-0.2137716,-0.0367776,83.37,America/New_York,0.0,1256860800,82.81,82.81,USD,PIMCO,83.37,77.51,2.78,85.3,,2,82.81,86400,ZROZ,PIMCO 25  Year Zero Coupon U.S.,ZROZ,1100,PIMCO 25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,Exchange Traded Fund,PCX
0.024,28.978,"The fund generally will invest at least 80% of its total assets in the components of the index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. oversees the index, which seeks to measure the potential returns of a theoretical portfolio of U.S. Treasury securities with a yield curve based upon 30 distinct annual maturities.",1192109400,4000,29.2791,28.35,-14400000,,71660,28.41,EDT,,0.0,Long Government,31.74,ETF,28.3693,71660,79769,0.0034935998,28.35,finmb_37982787,653424320,,83433,8e1dd0fd-69ba-3e1c-b05f-c7f3a2fe8032,79769,,-0.0941938,-0.0034952,28.43,America/New_York,,1192060800,28.38,28.3693,USD,Invesco,28.43,27.35,1.41,0.0,,2,28.38,86400,PLW,Invesco 1-30 Laddered Treasury ,PLW,4000,Invesco 1-30 Laddered Treasury ETF,Exchange Traded Fund,NGM
0.0,180.526,"The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust’s expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold.",1100788200,3000,175.7282,178.64,-14400000,,5477210,178.45895,EDT,,178.12,,191.36,ETF,177.78,5477210,4590374,0.048042897,178.64,finmb_5600649,57822425088,,5980829,b8aa1c71-9a1e-30a9-98e6-c05878a4fef3,4590374,0.0,-0.023283,0.0915371,178.92,America/New_York,0.0,1100736000,178.68,177.78,USD,SPDR State Street Global Advisors,178.92,150.57,0.12,178.29,,2,178.68,86400,GLD,SPDR Gold Trust,GLD,1400,SPDR Gold Shares,Exchange Traded Fund,PCX
0.0,28.19504,"The Barclays WTI Crude Oil Pure Beta Total Return Index (the ""index"") reflects the returns that are potentially available through an unleveraged investment in the futures contracts in the Crude Oil markets. The index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Pure Beta Series 2 Methodology.",1303306200,3000,29.187346,28.15,-14400000,+65 6 308 3000,0,28.1961,EDT,,0.0,,34.33,ETF,28.1044,0,10303,-0.0681967,28.15,finmb_130399866,52642328,,15083,a2eba965-6295-3c28-99d3-d5259d9b36de,10303,,0.3050988,0.0688742,28.4498,America/New_York,,1303257600,28.31,28.1044,USD,Barclays,28.4498,25.31,1.34,0.0,-49.0,2,28.31,86400,OIL,iPath Pure Beta Crude Oil ETN,OIL,1200,iPath Pure Beta Crude Oil ETN,Exchange Traded Fund,PCX
0.0,20.152,"The Trust holds long positions in index futures that have settlement values at expiration based on the level of the S&P GSCI-ER at that time, and earning interest on its non-cash Collateral Assets used to satisfy applicable margin requirements on those index futures positions. The index reflects the return of the S&P GSCI-ER, together with the return on specified U.S. Treasury securities that are deemed to have been held to collateralize a hypothetical long position in the futures contracts comprising the S&P GSCI™.",1153488600,1000,20.44875,21.5,-14400000,,683430,21.80001,EDT,4.8337026,0.0,Commodities Broad Basket,23.54,ETF,21.61,683430,618840,0.0268488,21.5,finmb_23246157,1086643072,,380250,e16fd1f3-2044-32f6-a817-b946066a3fdb,618840,0.0,0.259536,0.0513684,21.84,America/New_York,0.0,1152489600,21.71,21.61,USD,iShares,21.84,18.65,1.12,0.0,,2,21.71,86400,GSG,iShares GSCI Commodity-Indexed ,GSG,36200,iShares S&P GSCI Commodity-Indexed Trust,Exchange Traded Fund,PCX
